"Path","Name","Ext","SizeBytes","SHA256","SignStatus","Signer","NotAfter"
"C:\Tiptorro\packages\cctalk\CcTalkCommLib.dll","CcTalkCommLib.dll",".dll","86016","EC5BA1101049FF2F4470D34F68637B762B3541AF5CAEB6D6202B68E21EA66966","NotSigned","-",
"C:\Tiptorro\packages\printers\star\CommandEmulator.dll","CommandEmulator.dll",".dll","164712","409BA46536F006C35C09730B366BDDDFFBBC8EAD267836A5622EC6396CE1077E","Valid","CN=Microsoft Windows Hardware Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","02.12.2021 23:15:33"
"C:\Tiptorro\packages\printers\star\Configuration.dll","Configuration.dll",".dll","434512","41ED51F912584FF1CE0CB6C206E96954599842A0709BE732979BDE6BF3DB522C","Valid","CN=Microsoft Windows Hardware Compatibility Publisher, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","02.12.2021 23:15:33"
"C:\Tiptorro\packages\device-manager\DMHCommon.dll","DMHCommon.dll",".dll","50688","9BFD2A3B9CC753BCD4C44FE0C7933A82680437243A8F2B8A54CF0729BAF276DA","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPBcd0.dll","EAPBcd0.dll",".dll","276480","475B7DFE59285E22A5CC9929FA18BB05357B25D6E95012E732CF32F9BC8AF79E","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPBcdR0.dll","EAPBcdR0.dll",".dll","18944","E5AAEA8C5C61752078145AEB474D6A9BBB0D0975C78E181E911D7DC8242A3F18","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPdpc0.DLL","EAPdpc0.DLL",".dll","270848","B0F4433D601F23B312D1B89CE83F8B207EDC9F58AAF3DEFEF0558E20FE18A40C","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPDSP03X.DLL","EAPDSP03X.DLL",".dll","68608","D89B9513684C2F80F21CD4459BF6CB935FE74AFE6C4C3436ACA14BD6BB602E67","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPHT0001.DLL","EAPHT0001.DLL",".dll","82432","20CCB46A87DC64428521B52F23FD9803B249C30282F63E1374F0F083B536BE88","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPHT1BP.dll","EAPHT1BP.dll",".dll","59904","EEABA794A2C0CA7D8BB9FEF385E490BB5142E2BC39EDD084226F4594FF6803EE","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPHT4BP.dll","EAPHT4BP.dll",".dll","48640","9E4806920895524F6322B977961F953C3184218B0FFB3B1B21C065B2029F0DB2","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPimc0.DLL","EAPimc0.DLL",".dll","438272","6E3DF850D2E9E0EA24981666D004891C8AE5279A4802D6413E03601CBF9C6EC4","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPIMGPRC.DLL","EAPIMGPRC.DLL",".dll","52736","22AEEE3B7CA1C3CA1AEA38C546B24AAB9B1A4955252D773E442C4D9D283A1038","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPIMMD02.DLL","EAPIMMD02.DLL",".dll","390144","754C37BC9579039EB4A3D36FFAE81F935875DE5315300B0B1FE70FE759D3CD94","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPINKVOL.DLL","EAPINKVOL.DLL",".dll","12288","7E72F1B2996EBAEA720D6F638447B444B1017F560AC425CAA63E1BB3C941A6A8","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPIPGI10.DLL","EAPIPGI10.DLL",".dll","52224","3534651DF6AD990E4311EF49054C6915BF1AFC01EA825522A2FC0C422C4701B3","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPjnl7.dll","EAPjnl7.dll",".dll","515584","A26E24D76C576E7B65FE1EA26C6B020129DEB2B7020E17BA0771BB6EFAB0C2D9","NotSigned","-",
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPJOB03X.DLL","EAPJOB03X.DLL",".dll","343040","9DDBF1C85BE737CF00EC077FA51F164E07E15F6915071A381AC1DE5A20E006CE","NotSigned","-",
