"Path","Size","Modified","SHA256"
"C:\Tiptorro\.gitattributes","117","11.09.2025 23:14:32","9D517A8FF3B79AA52DAC468CBB7B3FBCC6B76A1CAF27F82DA4EECFF89908D183"
"C:\Tiptorro\.gitignore","264","11.09.2025 23:14:43","F5A0E0A8F6F30A09FC96C31622F0ECC9999127048977061FDF2E31F6CCC613D9"
"C:\Tiptorro\CHANGELOG.md","0","11.09.2025 12:50:01","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"C:\Tiptorro\CHANGELOG.md.bak","0","11.09.2025 12:50:01","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"C:\Tiptorro\links.json","4115","11.09.2025 16:25:27","16D9E4E62EEAD3937F1C8D7CBA45424A48D785C9DD1A992C92AE217EB43A3E1D"
"C:\Tiptorro\LiveTv.txt","4064","11.09.2025 16:20:10","A15FEF595890686B63DB3396747E2C610BEBE83DFCF595703A25E2875A2E1B0B"
"C:\Tiptorro\README.md","6334","12.09.2025 00:45:01","27D99CFB8CE510300795E5E5895442AF64BE85ACAE44D74B7F5234424D2D2399"
"C:\Tiptorro\README.md.bak","6334","12.09.2025 00:45:01","27D99CFB8CE510300795E5E5895442AF64BE85ACAE44D74B7F5234424D2D2399"
"C:\Tiptorro\START-HERE.md","4346","11.09.2025 22:55:14","17A5440397835238F132C95D7C3E917BDDEB4DA467A25F7475A1486FDBC06DC7"
"C:\Tiptorro\docs\CHANGELOG.md","5474","12.09.2025 00:45:09","F5BFED5EC6BCE633EA2A2A23AB7C0B2A8C189382B72DE4892CCC61572B55A292"
"C:\Tiptorro\docs\handover-template.md","3015","11.09.2025 13:34:12","2A1C8CDDEE9F668C7041684C97AEA29EFC9FC14778B10989C69375A9D56A91B7"
"C:\Tiptorro\docs\ops-playbook.md","11816","12.09.2025 01:10:42","5F7A44E0014D1A7521671E1AC82FEC9E1C08B1C8F5D1D94D9B2E2AACE6A58695"
"C:\Tiptorro\docs\ops-playbook.md.bak","11816","12.09.2025 01:10:42","5F7A44E0014D1A7521671E1AC82FEC9E1C08B1C8F5D1D94D9B2E2AACE6A58695"
"C:\Tiptorro\docs\handover\torro-handover-bundle_2025-09-10.zip","8853","10.09.2025 15:19:09","843B44AE28A7C46899224F7EA9CF4C9BFCCE54F3C15D74DABE0B7E1A7979FF42"
"C:\Tiptorro\logs\audit_signatures_20250912_020243.csv","26740","12.09.2025 02:02:46","7E99E10DBA9FC92ACCA4CE8B818A854E0A55DD65F8A05A39993247CC28786873"
"C:\Tiptorro\logs\audit_signatures_20250912_020243.log","20676","12.09.2025 02:02:46","8736C0F1E8CD0DCE0DB5D8D0348739A6E139B3F7D3155341F2D50A107F52D9D3"
"C:\Tiptorro\logs\healthcheck_20250912_020240.log","6554","12.09.2025 02:02:42","3A7D98ADCC832B2EE97B5F697DFA344ED519C398CD56B9DE03B66C21E0D7E8FB"
