"FullName","Length","LastWriteTime"
"C:\Tiptorro\.gitattributes","117","11.09.2025 23:14:32"
"C:\Tiptorro\.gitignore","264","11.09.2025 23:14:43"
"C:\Tiptorro\CHANGELOG.md","0","11.09.2025 12:50:01"
"C:\Tiptorro\CHANGELOG.md.bak","0","11.09.2025 12:50:01"
"C:\Tiptorro\links.json","4115","11.09.2025 16:25:27"
"C:\Tiptorro\LiveTv.txt","4064","11.09.2025 16:20:10"
"C:\Tiptorro\README.md","6334","12.09.2025 00:45:01"
"C:\Tiptorro\README.md.bak","6334","12.09.2025 00:45:01"
"C:\Tiptorro\START-HERE.md","4346","11.09.2025 22:55:14"
"C:\Tiptorro\torro_core_20250912_0219.zip","109271","12.09.2025 02:19:19"
"C:\Tiptorro\torro_packages_20250912_0219.zip","415644108","12.09.2025 02:19:35"
"C:\Tiptorro\docs\CHANGELOG.md","5474","12.09.2025 00:45:09"
"C:\Tiptorro\docs\handover-template.md","3015","11.09.2025 13:34:12"
"C:\Tiptorro\docs\ops-playbook.md","11816","12.09.2025 01:10:42"
"C:\Tiptorro\docs\ops-playbook.md.bak","11816","12.09.2025 01:10:42"
"C:\Tiptorro\docs\handover\torro-handover-bundle_2025-09-10.zip","8853","10.09.2025 15:19:09"
"C:\Tiptorro\logs\audit_signatures_20250912_020243.csv","26740","12.09.2025 02:02:46"
"C:\Tiptorro\logs\audit_signatures_20250912_020243.log","20676","12.09.2025 02:02:46"
"C:\Tiptorro\logs\healthcheck_20250912_020240.log","6554","12.09.2025 02:02:42"
"C:\Tiptorro\logs\printers_forms_OneClick_20250912_020513.log","7040","12.09.2025 02:05:18"
"C:\Tiptorro\logs\reset_20250912_0200.log","230","12.09.2025 02:00:01"
"C:\Tiptorro\logs\reset_20250912_0201.log","1088","12.09.2025 02:02:00"
"C:\Tiptorro\packages\MoneyDevices.ps1","2401","10.09.2025 16:05:57"
"C:\Tiptorro\packages\cctalk\ccDLL_Test.exe","258048","21.08.2024 08:05:36"
"C:\Tiptorro\packages\cctalk\ccTalk Devices.exe","311296","21.08.2024 08:05:34"
"C:\Tiptorro\packages\cctalk\CcTalkCommLib.dll","86016","21.08.2024 08:05:34"
"C:\Tiptorro\packages\cctalk\ccTalkTest.exe","54272","21.08.2024 08:05:34"
"C:\Tiptorro\packages\cctalk\clog.log","2250","21.08.2024 08:05:34"
"C:\Tiptorro\packages\cctalk\settings.ini","144","21.08.2024 08:05:34"
"C:\Tiptorro\packages\device-manager\DeviceManager.Host.exe","700416","29.05.2025 16:14:15"
"C:\Tiptorro\packages\device-manager\devicemanager.InstallInfo.txt","340","21.08.2024 08:05:36"
"C:\Tiptorro\packages\device-manager\DeviceManager.Service.Setup.msi","2223616","21.08.2024 08:03:18"
"C:\Tiptorro\packages\device-manager\DMHCommon.dll","50688","29.05.2025 16:14:16"
"C:\Tiptorro\packages\device-manager\setup.exe","533504","21.08.2024 08:05:36"
"C:\Tiptorro\packages\LiveTvLinks\links.json","4115","11.09.2025 16:25:27"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5Bcd0.dl_","132076","19.02.2020 06:31:45"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5BcdR0.dl_","8603","19.02.2020 06:31:45"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5EpucInst.ex_","148734","19.02.2020 06:31:46"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\ea5instmt88v.cat","17436","31.03.2020 02:13:24"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5INSTMT88V.INF","6202","06.02.2020 08:42:32"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5LMTM.DL_","208284","19.02.2020 06:31:47"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5LMTMT88V.dat","299","08.01.2020 01:48:55"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5MDLTMT88V.GP_","4745","19.02.2020 06:31:43"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5PIITMT88V.IN_","233","19.02.2020 06:31:43"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5RDPTM.DL_","255913","19.02.2020 06:31:47"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5RESTMT88V.DL_","128751","19.02.2020 06:31:45"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T 88V\EA5UIPTM.DL_","272337","19.02.2020 06:31:49"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\APD4PrinterDriver.ini","128845","26.06.2019 10:42:22"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPBcd0.dll","276480","27.10.2017 01:49:56"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPBcdR0.dll","18944","27.10.2017 01:50:16"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPctled.exe","82120","24.03.2020 06:28:52"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPCtled0e.chm","62317","15.03.2009 17:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPCtled0j.chm","64101","15.03.2009 17:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd027e.DAT","1161","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd037e.DAT","1161","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd057e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd067e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd077e.DAT","1738","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd087e.DAT","1732","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd127e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd137e.DAT","1272","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd217e.DAT","1601","23.03.2020 21:00:00"
"C:\Tiptorro\packages\printers\epson\driver\Tm-T88IV\EAPd217j.DAT","1600","23.03.2020 21:00:00"
